Area,Item,Year,Area harvested,Yield,Production,AreaHarvested_outlier,yield_outlier,Production_outlier
Afghanistan,Wheat,2019,2334000.0,2095.1,4890000.0,True,False,True
Afghanistan,Wheat,2020,2668000.0,1943.4,5185000.0,True,False,True
Afghanistan,Wheat,2021,2046564.0,1963.1,4017657.0,True,False,True
Afghanistan,Wheat,2022,1859339.0,2045.3,3802895.0,True,False,True
Afghanistan,Wheat,2023,2003070.0,2146.7,4300000.0,True,False,True
Afghanistan,Maize (corn),2019,94910.0,1945.7,184671.0,True,False,False
Afghanistan,Maize (corn),2020,140498.0,1934.4,271776.0,True,False,False
Afghanistan,Maize (corn),2021,139080.0,1900.4,264314.0,True,False,False
Afghanistan,Maize (corn),2022,139000.0,2237.4,311000.0,True,False,False
Afghanistan,Maize (corn),2023,127000.0,2858.3,363000.0,True,False,False
Afghanistan,Rice,2019,127530.0,4476.6,570900.0,True,False,True
Afghanistan,Rice,2020,147555.0,4441.7,655400.0,True,False,True
Afghanistan,Rice,2021,141222.0,4406.5,622300.0,True,False,True
Afghanistan,Rice,2022,128000.0,4625.0,592000.0,True,False,True
Afghanistan,Rice,2023,129000.0,4627.9,597000.0,True,False,True
Afghanistan,Barley,2019,84070.0,1469.9,123576.0,True,False,False
Afghanistan,Barley,2020,86099.0,1483.8,127757.0,True,False,False
Afghanistan,Barley,2021,40273.0,1616.5,65102.0,False,False,False
Afghanistan,Barley,2022,61952.0,1528.4,94687.0,False,False,False
Afghanistan,Barley,2023,80000.0,1375.0,110000.0,True,False,False
Afghanistan,Millet,2019,1401.0,1937.2,2714.0,False,False,False
Afghanistan,Millet,2020,1437.0,1318.7,1895.0,False,False,False
Afghanistan,Millet,2021,979.0,1583.2,1550.0,False,False,False
Afghanistan,Millet,2022,1213.0,1577.1,1913.0,False,False,False
Afghanistan,Millet,2023,1142.0,1597.9,1824.12,False,False,False
Afghanistan,Soya beans,2022,1828.0,1589.7,2906.0,False,False,False
Afghanistan,Soya beans,2023,3000.0,2000.0,6000.0,False,False,False
Afghanistan,Watermelons,2019,48298.0,17536.8,846990.0,False,False,True
Afghanistan,Watermelons,2020,66244.0,14949.6,990318.0,False,False,True
Afghanistan,Watermelons,2021,66108.0,14156.5,935859.12,False,False,True
Afghanistan,Watermelons,2022,60768.0,14667.2,891291.27,False,False,True
Afghanistan,Watermelons,2023,61591.0,15321.6,943668.36,False,False,True
Afghanistan,Cantaloupes and other melons,2019,37136.0,12500.8,464230.0,False,False,True
Afghanistan,Cantaloupes and other melons,2020,58942.0,13462.3,793496.0,False,False,True
Afghanistan,Cantaloupes and other melons,2021,59437.0,12843.6,763382.89,False,False,True
Afghanistan,Cantaloupes and other melons,2022,70902.0,10754.8,762542.69,True,False,True
Afghanistan,Cantaloupes and other melons,2023,73628.0,10798.9,795100.45,True,False,True
